ROP_dBm,SNR_dB,BER
-32,10.4868209923337,0.0145701778469235
-31,12.1620583328129,0.0083680333119795
-30,13.7007561892591,0.0046692443793661
-29,14.8655819854515,0.00295903114609072
-28,15.9704415505183,0.00179410329154083
